        AOA          AOAHT        ELEV         ETAB         DYNP        FXHT         FZHT         MYHT         FXE          FZE          MYE          FXWB         FZWB         MYWB         FXTAB        FZTAB        MYTAB        
     -19.557      -13.450       -6.661        7.512         4604  -6.8291e+03  -2.8638e+04   2.5503e+05  -1.8699e+03  -7.8179e+03   6.9599e+04  -6.4809e+04  -2.9682e+05  -5.7476e+04   1.2600e+02   3.5469e+02  -2.9901e+03
     -19.557      -13.447       -6.661        7.512         4604  -6.8273e+03  -2.8630e+04   2.5497e+05  -1.8699e+03  -7.8179e+03   6.9599e+04  -6.4800e+04  -2.9675e+05  -5.7470e+04   1.2600e+02   3.5469e+02  -2.9901e+03
     -19.557      -13.180       -6.661        7.509         4604  -6.6917e+03  -2.8062e+04   2.4990e+05  -1.8699e+03  -7.8179e+03   6.9599e+04  -6.4084e+04  -2.9205e+05  -5.7004e+04   1.2595e+02   3.5454e+02  -2.9889e+03
     -19.559      -59.260       -6.661        8.031         4604  -3.0090e+04  -1.2617e+05   1.1236e+06  -1.8701e+03  -7.8178e+03   6.9598e+04  -1.6078e+04  -1.1640e+06   6.2344e+04   1.3472e+02   3.7919e+02  -3.1966e+03
     -19.559      -13.452       -6.661        7.512         4604  -6.8306e+03  -2.8641e+04   2.5506e+05  -1.8701e+03  -7.8178e+03   6.9598e+04  -6.4826e+04  -2.9685e+05  -5.7493e+04   1.2601e+02   3.5469e+02  -2.9900e+03
     -19.559      -13.454       -6.661        7.512         4604  -6.8317e+03  -2.8646e+04   2.5510e+05  -1.8701e+03  -7.8178e+03   6.9598e+04  -6.4832e+04  -2.9689e+05  -5.7496e+04   1.2601e+02   3.5469e+02  -2.9900e+03
     -19.559      -13.720       -6.661        7.515         4604  -6.9666e+03  -2.9211e+04   2.6014e+05  -1.8701e+03  -7.8178e+03   6.9598e+04  -6.5532e+04  -3.0157e+05  -5.7946e+04   1.2606e+02   3.5483e+02  -2.9912e+03
     -19.561       32.353       -6.661        6.993         4604   1.6429e+04   6.8884e+04  -6.1344e+05  -1.8703e+03  -7.8178e+03   6.9596e+04   2.2757e+05   4.4899e+05   2.1985e+05   1.1732e+02   3.3017e+02  -2.7833e+03
     -19.561      -13.455       -6.661        7.512         4604  -6.8331e+03  -2.8648e+04   2.5512e+05  -1.8703e+03  -7.8178e+03   6.9596e+04  -6.4848e+04  -2.9692e+05  -5.7512e+04   1.2603e+02   3.5468e+02  -2.9899e+03
     -19.561      -13.456       -6.661        7.512         4604  -6.8332e+03  -2.8649e+04   2.5512e+05  -1.8703e+03  -7.8178e+03   6.9596e+04  -6.4849e+04  -2.9692e+05  -5.7513e+04   1.2603e+02   3.5468e+02  -2.9899e+03
